barcode,name,brand,category,subcategory,ingredients,allergens,retailer,price,promo_price,original_price,promo_text,stock_status,product_url,image_url,source_type,source_url
5060107332614,Ella's Kitchen Apples First Tastes 70G,Ella's Kitchen,Baby & Toddler,Fruit Puree,Organic Apples; Organic Lemon Juice Concentrate,unknown,Sainsbury's,1.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5060107330276,Ella's Kitchen Apples Plus Bananas 120G,Ella's Kitchen,Baby & Toddler,Fruit Puree,Organic Bananas; Organic Apples; Organic Lemon Juice Concentrate,unknown,Sainsbury's,1.4,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5060107330382,Ella's Kitchen Peaches Plus Bananas 120G,Ella's Kitchen,Baby & Toddler,Fruit Puree,Organic Bananas; Organic Peaches; Organic Lemon Juice Concentrate,unknown,Sainsbury's,1.4,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5060107332621,Ella's Kitchen Pears First Tastes 70G,Ella's Kitchen,Baby & Toddler,Fruit Puree,Organic Pears; Organic Lemon Juice Concentrate,unknown,Sainsbury's,1.0,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5060107330368,Ella's Kitchen Strawberries Plus Apples 120G,Ella's Kitchen,Baby & Toddler,Fruit Puree,Organic Apples; Organic Strawberries; Organic Lemon Juice Concentrate,unknown,Sainsbury's,1.4,,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5000157079978,"Heinz Peach, Mango, Banana & Apple Baby Food Fruit Puree Pouch 100g",Heinz,Baby & Toddler,Fruit Puree,Apple; Peach; Mango; Banana; Concentrated Lemon Juice; Vitamin C,unknown,Sainsbury's,1.25,1.0,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/pouches-44
5051594008304,Aptamil Creamed Banana Porridge Baby Cereal 125g,Aptamil,Baby & Toddler,Porridge,Milled cereals; Corn; Rice; Skimmed milk powder; Vegetable oils; Soy lecithin; Demineralised whey powder from milk; Banana flakes; Galacto-oligosaccharides from milk; Fructo-oligosaccharides; Minerals; Vitamins,Milk; Soy,Sainsbury's,2.4,2.15,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44
5051594008281,Aptamil Creamed Porridge Cereal 125g 4 Month+,Aptamil,Baby & Toddler,Porridge,Milled cereals; Corn; Rice; Skimmed milk powder; Demineralised whey powder from milk; Vegetable oils; Soy lecithin; Galacto-oligosaccharides from milk; Fructo-oligosaccharides; Minerals; Vitamins,Milk; Soy,Sainsbury's,2.4,2.15,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44
5051594008342,Aptamil Multigrain Banana & Berry Cereal 200g 7 Month+,Aptamil,Baby & Toddler,Porridge,Milled cereals; Wholegrain wheat; Rye; Wholegrain oat; Wholegrain spelt; Millet; Rice; Buckwheat; Skimmed milk powder; Vegetable oils; Soy lecithin; Demineralised whey powder from milk; Banana flakes; Galacto-oligosaccharides from milk; Berry flakes; Apple powder; Fructo-oligosaccharides; Minerals; Vitamins,Milk; Soy; Wheat; Oats; Gluten,Sainsbury's,3.75,2.75,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44
5900852921254,Aptamil Multigrain Breakfast Cereal 200g 7 Month+,Aptamil,Baby & Toddler,Porridge,Milled cereals; Wholegrain wheat; Rye; Wholegrain oat; Wholegrain spelt; Millet; Rice; Buckwheat; Skimmed milk powder; Vegetable oils; Soy lecithin; Demineralised whey powder from milk; Cornflakes; Galacto-oligosaccharides from milk; Fructo-oligosaccharides; Minerals; Vitamins,Milk; Soy; Wheat; Oats; Gluten,Sainsbury's,3.2,2.75,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44
3041091431998,Cow & Gate Banana Porridge 125G,Cow & Gate,Baby & Toddler,Porridge,"Milled cereals (maize flour, rice flour); Skimmed milk powder; Vegetable oils; Demineralised whey powder; Banana flakes; Minerals; Vitamins",Milk,Sainsbury's,2.1,1.8,,,in_stock,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44,,manual_csv,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/gb/groceries/baby-meals/cereals-44
