barcode,name,brand,category,subcategory,ingredients,allergens,source,source_url,data_confidence,needs_manual_review,notes
5018357012411,Simply Delicious Muesli,Dorset Cereals,General Food,Uncategorised,"Wholegrain oat flakes, wholegrain wheat flakes, dried fruit (20%) [raisins, sultanas, chopped dates (4%)], barley flakes, wholegrain toasted wheat flakes, sunflower seeds (4.5%), nuts (2%) [chopped brazil nuts (1%), roasted whole hazelnuts].",gluten en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5018357012411/simply-delicious-muesli-dorset-cereals,community,true,no clean SafeBite subcategory mapped
5010029202410,Weetabix,Weetabix,General Food,Uncategorised,"Wholegrain Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5010029202410/weetabix,community,true,no clean SafeBite subcategory mapped
4088600169934,Muesli Swiss Style,Harvest Morn,General Food,Uncategorised,"oat flakes, toasted wheat flakes (wheat, barley malt extract, salt), raisins 15%, whey powder (milk), hazelnut halves 2%, flaked almonds 1%",milk,open_food_facts,https://world.openfoodfacts.org/product/4088600169934/muesli-swiss-style-harvest-morn,community,true,no clean SafeBite subcategory mapped
5010477364654,Granola Triple Nut,Jordan’s,General Food,Uncategorised,"Wholegrain OAT Flakes (47%), Chicory Root Fibre, Sultanas, Vegetable Oil (rapeseed and sunflower in varying proportions), Nuts (8%) (CASHEW pieces, Whole & Sliced ALMONDS, Chopped Roasted HAZELNUTS), OAT Flour, Rice Flour, Sunflower Seeds, Desiccated Coconut, Natural Flavouring.",nuts,open_food_facts,https://world.openfoodfacts.org/product/5010477364654/granola-triple-nut-jordan-s,community,true,no clean SafeBite subcategory mapped
5000108022176,PORAGE OATS ORIGINAL TRADITIONAL SMOOTH CUT,Scott's,General Food,Uncategorised,100% Rolled Oats,,open_food_facts,https://world.openfoodfacts.org/product/5000108022176/porage-oats-original-traditional-smooth-cut-scott-s,community,true,no clean SafeBite subcategory mapped; allergens missing or not explicitly declared
5010029231212,Muesli,Alpen,General Food,Uncategorised,"Wholegrain Wheat (42%), Wholegrain Rolled Oats (33%), Raisins (19.5%), Skimmed Milk Powder, Milk Whey Powder, Roasted Sliced Nuts (2.0%) (Almonds, Hazelnuts), Salt.",gluten en:milk en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5010029231212/muesli-alpen,community,true,no clean SafeBite subcategory mapped
5000436616443,Corn Flakes,Tesco,General Food,Uncategorised,"Maize, Sugar, Salt, _Barley_ Malt Extract, Iron, Niacin, Pantothenic Acid, Vitamin B6, Riboflavin, Thiamin, Folic Acid, Vitamin D, Vitamin B12.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5000436616443/corn-flakes-tesco,community,true,no clean SafeBite subcategory mapped
5013803001070,"low sugar granola whole grain oats, almonds & seeds",EAT NATURAL,General Food,Uncategorised,"Whole grain _OATS_ 36%, sunflower seeds 11%, shredded coconut 10%, rapeseed oil, chicory root fibre, _ALMONDS_ 8%, buckwheat 6%, pumpkin seeds 5%, coconut blossom nectar 3%, crisped rice (rice), sea salt.",gluten en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5013803001070/low-sugar-granola-whole-grain-oats-almonds-seeds-eat-natural,community,true,no clean SafeBite subcategory mapped
5000119117359,Wheat Biscuits,Tesco,General Food,Uncategorised,"Wheat (95%), Malted Barley Extract, Sugar, Salt, Niacin, Iron, Riboflavin, Thiamin, Folic Acid. Allergy Advice",gluten,open_food_facts,https://world.openfoodfacts.org/product/5000119117359/wheat-biscuits-tesco,community,true,no clean SafeBite subcategory mapped
4088600247458,malted wheaties,Harvest Morn,General Food,Uncategorised,"wholegrain wheat (98%), sugar, inverted sugar syrup, barley malt extract, salt, iron, niacin, pantothenic acid, folic acid, thiamin, riboflavin, vitamin b6, vitamin b12,",milk; nuts; soybeans,open_food_facts,https://world.openfoodfacts.org/product/4088600247458/malted-wheaties-harvest-morn,community,true,no clean SafeBite subcategory mapped
